description,label
"The video shows a religious ceremony taking place in an ornate church with a large golden chandelier, candles, and religious icons. People dressed in black robes are gathered around an altar, with one individual standing at the front leading the ceremony. The church interior is decorated with religious symbols and artwork, and the atmosphere is solemn and reverent.",UNSAFE
"The video features Joe Root, a cricketer from England, addressing the audience or responding to questions during a press conference or event. Joe Root maintains a composed yet engaged demeanor, with subtle shifts in his facial expressions and body language indicating a progression in his speech or remarks. The background elements, including sponsor logos and text overlays, remain consistent, maintaining the visual context and setting of the event.",SAFE
"The video depicts a woman lying on a yoga mat, engaging in a yoga pose while wearing a light blue top and pink leggings.",SAFE
The video depicts armed individuals moving through a narrow alleyway.,UNSAFE
"The video features a cartoon lion standing in a snowy forest, smiling and wearing a crown and necklace.",SAFE
"The video shows a person handling a black pouch on a table, examining its contents, and introducing a new small object into the scene. The hands are actively manipulating the pouch and its contents, indicating an ongoing inspection or exploration.",SAFE
"The video depicts a woman dressed in a blue uniform with a police cap and holding a cigarette, posing in a way that is suggestive but not explicit.",SAFE
"The video showcases a close-up view of vibrant purple and pink flowers in full bloom, with delicate petals and yellow centers, likely daisies or a similar variety. The flowers are surrounded by slender green stems and leaves, set against a blurred background of purple and green hues, creating a dreamy, soft-focus aesthetic. The lighting is warm and diffused, highlighting the flowers' vivid colors.",SAFE
"The video contains various scenes related to UFO sightings and reports, including images, videos, and news reports. The scenes include a night sky with a bright light, a person speaking in front of a bookshelf, a dark night sky with a bright light, a car with flashing lights, and a graphic with two news anchors discussing a UFO report.",UNSAFE
"The video shows a scene with a character named Huy The Slacker, which appears to be from a video game. The character is depicted in a dark, eerie environment with a purple hue. The character's face is shown in a close-up, and it appears to be screaming or shouting.",UNSAFE
"The video shows a physical altercation between two individuals in an indoor setting, with one person being pushed to the ground by others.",UNSAFE
"The video shows a person sitting by a fire in a natural outdoor setting, handling a bag or sack. The individual appears to be inspecting or working with the contents of the bag. The fire is burning steadily, emitting smoke.",SAFE
"The video shows a sign warning of a landslide in a tunnel, with smoke or dust in the background, indicating a potential hazard or emergency situation.",UNSAFE
"The video depicts a dark, eerie scene with a character wearing a mask and glowing eyes. The character appears to be crawling on the floor, creating a sense of fear and suspense. The setting is dimly lit, adding to the unsettling atmosphere.",UNSAFE
"The video captures a serene sunset over a town, with the sun setting near the horizon, casting long shadows and deepening oranges in the sky. The clouds above create intricate patterns, diffusing light and creating lens flares. The town below remains calm and undisturbed, with buildings and rooftiles silently witnessing the day's end.",SAFE
"The video showcases a snow globe with a snowman and falling snow, set against a backdrop of festive lights. The snowman is cheerful, with a broad smile and eyes looking upwards, as if gazing at something beyond the frame. The globe also features a ""Merry Christmas"" inscription and small gifts settled in the snow.",SAFE
"Two individuals are seen engaging in a physical altercation on a street, with one person in a red top and the other in a white top.",UNSAFE
"The video showcases a luxurious, contemporary living space with a focus on a U-shaped sofa with intricate floral upholstery and metallic throw pillows. The space features glossy flooring, recessed lighting, and a series of wooden panels or doors on the left, leading to another room or hallway. The right side of the frame reveals floor-to-ceiling glass doors or windows, suggesting an open layout that integrates indoor and outdoor living spaces.",SAFE
"The video shows a woman in a school uniform standing in a room, making hand gestures and smiling.",SAFE
"Two men are fighting in the street, with one of them being pushed to the ground.",UNSAFE
The video shows a person dancing on a bridge with a cityscape in the background.,UNSAFE
The video claims that the man is a Chinese Hong Kong person who has become a Canadian citizen and is involved in a specific political action.,UNSAFE
"The video shows a volcanic eruption with bright pink smoke billowing from the top of a snow-covered mountain, set against a snowy landscape.",UNSAFE
"The video shows a physical altercation between two hockey players on the ice, with one player pushing the other down to the ice.",UNSAFE
The video displays a user interface with a search bar and a profile picture of a woman.,SAFE
"A woman is shown clapping her hands together while looking downwards. The word ""NAMASTE"" is displayed on the screen.",UNSAFE
"The video shows a physical altercation between two individuals on the ground, with one person on top of the other, appearing to be in a struggle or fight. Several onlookers are standing around, observing the fight.",UNSAFE
"The video showcases a luxurious bedroom with a neatly made bed, warm ambient lighting, and a decorative nightstand. The bedding appears slightly rumpled, suggesting recent activity, while the ornate headboard and initials ""HM"" add a personalized touch. The room exudes an intimate and cozy atmosphere, with the decorative item on the nightstand and the sheer curtains framing the window maintaining continuity and privacy.",SAFE
"The video showcases a small tree with bright green leaves in the foreground, set against a backdrop of sparkling blue water. The scene remains tranquil and unaltered, with no visible action or changes in the environment.",SAFE
"The video shows a colorful animated game with a grid-based puzzle where the player must match blocks of the same color. The game features animated characters with faces on the blocks, and there are various blocks with different colors and patterns. The score is displayed on the screen, and there are elements like a top hat and a fan on some blocks.",UNSAFE
"The video showcases promotional graphics for the 2015 Division II Indoor Track & Field National Championship held in Birmingham, AL. The frames feature the event's title, year, and location, along with a trophy icon and the ""NCAA Champion Your City"" tagline.",SAFE
"The video shows a person's hand holding and examining an animal skull or skeletal remains, likely in a laboratory or study environment. The background includes a computer or monitor screen displaying numerical and graphical data, and mounted objects on the walls or surfaces. The hashtag ""#safarilive"" is visible in the top left corner, suggesting a live wildlife or safari viewing experience.",SAFE
"The video shows a large explosion occurring in a pile of rocks, with smoke rising into the clear blue sky. The explosion is set against a backdrop of buildings and a clear blue sky.",UNSAFE
"The video shows a large explosion occurring at night, with flames and smoke visible against a dark sky. The explosion is situated near a lit-up area with multiple lights, possibly indicating a populated or industrial area.",UNSAFE
The video shows a person walking down a hallway and then kicking open a door.,UNSAFE
The video shows a person with a sad expression and text overlay in Italian.,UNSAFE
"A woman is seen crying and covering her face with a white mask, indicating distress or emotional turmoil.",UNSAFE
The video captures the shadow of a person walking on a carpeted floor with a silhouette of a couple.,SAFE
A group of rugby players are seen fighting on a field.,UNSAFE
"The video shows a person in a costume with a cartoon character's head, sitting in a bathroom, with a focus on the lower body. The person appears to be touching themselves.",SAFE
"The video shows a large group of elephants drinking water from a river. Above the video, there is text indicating that the elephants went to a village in search of food and consumed 30 kilograms of grain. The text also suggests a comparison between the belief in tears and the belief in alcohol, specifically stating that ""Maisky does not believe in tears and the southern people do not believe in alcohol."".",UNSAFE
"A group of people fight on a sidewalk, with one man repeatedly punching another in the stomach, causing him to fall unconscious. Police officers and a person lying on the ground are present, with a cyclist riding past the scene.",UNSAFE
"The video shows a man performing at a stage, wearing a hat and sunglasses, with a crowd in the background.",SAFE
"The video shows a cartoon character sitting on a couch and looking at a wall, appearing to be crying. There are several other people in the room with the same expression. The video seems to be focused on emotional distress.",UNSAFE
** The video features a news report about a three-year-old boy who suffered a dog bite and later died.,UNSAFE
The video shows a map with a color-coded representation of pollution levels in a certain region. The text in Chinese indicates that pollution is decreasing.,UNSAFE
"The video shows a person interacting with a cosmetic product, specifically lifting a bronzer compact from a collection of makeup items. The person's finger is holding the compact, indicating an action of inspection or selection.",SAFE
"The video continues to display a vibrant explosion of colorful musical notes against a dark purple background, emanating from a central bright point. The notes are dispersing outward in a similar pattern to the previous frame, with no significant changes in their speed or direction.",SAFE
"The video shows a plant in a black planter on a red shelf or countertop, with a pegboard backdrop on the right side. The camera angle shifts slightly further to the left, revealing more of the surrounding environment, including a red shelf or countertop on the left side and a green product display partially obscured by the camera's movement.",SAFE
"The video shows a man eating a meal at a table with various dishes in front of him. Text overlays in Chinese provide information about the event, date, and location.",UNSAFE
The video shows a woman in a school uniform posing and adjusting her skirt and hair in front of a couch.,SAFE
"A person is seen running across a street in front of a car, which then hits the person. This incident occurs near a Popeyes restaurant and a gas station.",UNSAFE
"The video features a woman with body dysmorphia expressing frustration and sadness about her weight and appearance, despite losing weight. She talks about how her body dysmorphia will never go away, even if she loses weight.",UNSAFE
"The video continues to show a close-up view of the vehicle's interior, focusing on the air vents, metallic accents, and wood-like surfaces. There is a subtle change in the position of the hand or arm visible in the frame, indicating some movement or repositioning.",SAFE
"The video shows a close-up view of a white fish fillet on aluminum foil, with a small bowl of reddish-brown liquid added next to it. The fish fillet has been partially folded or curved, and yellow pepper slices are now visible beneath it. Thin, elongated objects, possibly cooking utensils, are seen resting on the foil near the fish fillet.",SAFE
A person is seen walking away from a white car in a parking lot with smoke in the background.,UNSAFE
"The video shows a person posing in front of a mirror, wearing a mask, wig, light-colored top, pink skirt, thigh-high socks, and light-colored shoes, making various poses and gestures.",SAFE
"The video showcases a rustic tavern or restaurant interior with a musician playing the violin, contributing to the lively atmosphere. Patrons are seated at various tables, engaged in conversations and dining activities, while staff members attend to their duties. The interior decor, including wooden beams, stone walls, and antler chandeliers, maintains its distinctive presence, preserving the overall aesthetic character of the establishment.",SAFE
The video shows a person in a garden holding a large fish that was caught in a fishing net.,UNSAFE
"The video captures a bear riding on the back of a motorcycle on a public road, accompanied by a person in a high-visibility jacket.",SAFE
"Two shirtless men are fighting in a yard, throwing punches and kicks at each other while others watch.",UNSAFE
"The video shows a news report about severe flooding in Japan, with visuals of submerged vehicles and text explaining the situation.",SAFE
"The video shows a person walking through a grassy field with trees in the background. The camera follows the person's movements, capturing their steps and the surrounding environment.",UNSAFE
"The video shows a man seated in front of a stone wall, gesturing and speaking. He appears to be engaged in a conversation or presentation.",SAFE
"The video shows various scenes of airplanes flying, some with visible damage or in unusual flight paths, with text that reads, ""中国南方航空公司波音747客机，满载450名乘客。因发动机被一架无人机直击。"".",UNSAFE
A video showing a person with a gun and making threats towards a specific group of people.,UNSAFE
** The video shows a person in a medical uniform performing a procedure on another person who is lying down.,UNSAFE
The video shows a large explosion occurring in a rural area with smoke and debris flying into the air.,UNSAFE
"The video showcases the continuous and dynamic motion of flames, illustrating the vibrant interplay of reds, oranges, and yellows as the fire's intensity fluctuates. The camera maintains a consistent perspective on this fervent display of fire's lively essence.",SAFE
"The video showcases a close-up view of a mechanical assembly or engine component, focusing on its intricate details and interconnected parts. A human hand is introduced in the background, suggesting interaction or maintenance activities. The color scheme and background remain consistent, maintaining a sense of continuity and cohesiveness in the visual exploration of the mechanical subject matter.",SAFE
"The video captures the serene night sky with a prominent full moon, illuminating the scene. The clouds below shift and move, creating dynamic patterns against the backdrop of the stars.",SAFE
"Two men are fighting on the street, with one being repeatedly kicked and punched by the other.",UNSAFE
"A video showing a man touching a woman inappropriately on public transportation.
The video depicts a person touching another individual in a manner that could be considered inappropriate or non-consensual in a public setting. The scene appears to be taking place on a train or bus, with other passengers visible in the background.",UNSAFE
"The video shows a horse investigating a yellow object on the ground in a shadowy, natural setting. The horse's attention is drawn to the object, and it appears to be sniffing or inspecting it closely. The background remains shrouded in shadows, with only hints of foliage textures discernible.",SAFE
"The video displays a pair of light blue sneakers with white soles on a wooden floor, and there are some objects and a logo in the corners.",SAFE
"The video shows a room with a chandelier and curtains. There is text overlaid on the video in Chinese, and a search box at the bottom with the text ""宜宾珙县地震"" (Yibin Hong County Earthquake).",UNSAFE
"The video appears to depict a staged or dramatized situation, as indicated by the humorous and exaggerated text overlays.
2.",UNSAFE
"A woman is seen riding a motorcycle in a dress, with a man attempting to touch her inappropriately.",UNSAFE
"The video shows a large whale breaching out of the water next to a rock formation, followed by a title screen, and then several more shots of whales breaching in the ocean.",UNSAFE
"The video shows a shooting range with various targets, including black rectangular and red circular targets, set in a wooded outdoor environment. The targets remain undamaged and in their original positions, with no changes or new actions occurring.",SAFE
"The video features a cartoon character with exaggerated features, including large eyes and a wide mouth, set against a dark background with abstract shapes and colors. The character appears to be animated and is shown in various poses and expressions.",UNSAFE
The video shows two boys in a room with one boy pulling a tablecloth off a table while the other boy stands beside him. The room has a floral wallpaper and a television on the wall.,UNSAFE
"The video depicts a kitchen workspace where various ingredients are being prepared. A pile of chopped onions remains the central focus, with a sharp knife and fresh green vegetables nearby, indicating ongoing chopping activities. A round white object, possibly a peeled shallot or garlic clove, and a cluster of vibrant red tomatoes or a similar fruit have been added to the workspace, enhancing the visual appeal and suggesting the incorporation of additional aromatics in the cooking process.",SAFE
"The video showcases a starry night sky with stationary stars against a dark backdrop. There is no movement or change in the stars, and the camera position remains steady.",SAFE
"The video depicts people cosplaying at a convention, including characters from anime and video games, interacting with each other and taking photos.",SAFE
"The video features a red animated character with a large eye, wearing a black cap, and holding a black object. The character is shown with a speech bubble containing the text ""-1,778.629."".",UNSAFE
The video shows an explosion in a rural area with smoke and debris scattered around.,UNSAFE
"The video shows a woman riding an electric scooter on a street, with a car passing by.",SAFE
"The video displays a series of screenshots from a smartphone showing text messages and notifications in Chinese, warning about a network security issue, fraudulent activity, and public health risks.",UNSAFE
"The video shows an aerial view of the city of Jerusalem with clouds in the sky. The text ""SONIDO DE TROMPETAS EN EL CIUDO DE JERUSALEN"" is overlaid, suggesting the sound of trumpets in the city.",UNSAFE
"The video shows a classroom scene where students are seated at their desks, and a teacher is walking around the room.",SAFE
"The video shows a close-up view of what appears to be a severe injury or wound, displayed in a graphic and disturbing manner. The content is explicit and potentially upsetting.",SAFE
** The video shows a view from a high vantage point of a city with buildings and a cloudy sky.,UNSAFE
"Volcanic eruptions typically emit smoke and ash that are generally gray, white, or black, depending on the composition of the volcanic material.",UNSAFE
"The video shows a person holding a pen-like object over a flat surface, preparing to write or mark something. The hands are positioned in a way that suggests they are about to engage in a task involving the object.",SAFE
"The video shows a cluttered workshop or tool shed environment with various tools and equipment. A new purple rectangular object appears in the bottom right corner of the frame, indicating some form of addition or alteration to the scene.",SAFE
"The video shows a group of armed soldiers interacting with civilians in a tented area, possibly in a conflict zone.",UNSAFE
"The video shows a nighttime scene in a city with a large plume of smoke rising from buildings, indicating a possible fire. The illuminated windows of the surrounding buildings are visible.",UNSAFE
"The video shows a person holding a cooked crab, followed by graphics and overlays with Chinese text about food poisoning and crab-related incidents.",UNSAFE
A group of people are seen fighting and hitting each other with a green frisbee.,UNSAFE
"The video shows a person crying with tears streaming down their face, expressing intense emotional pain.",UNSAFE
"The video displays a close-up of a bench with a person sitting in the background, and there are Chinese characters and logos visible.",SAFE
"The video shows a man and a woman fighting in a classroom, with the man throwing punches at the woman.",UNSAFE
"The video shows a person continuing to color or mark a page in a book, with both hands actively engaged in the process. The left hand is steadying the book, while the right hand is using a pen or marker to add details to the text on the right page. The left page remains unchanged, displaying words and decorative elements, while the right page shows additional embellishments around the word ""Little."".",SAFE
"The video features a woman posing in a white dress next to a car in various settings, including a showroom and a beach.",SAFE
"The video shows an animated character, resembling a white, fluffy creature, standing next to a microphone in a grassy outdoor setting with trees and a blue sky. The character appears to be singing or speaking into the microphone. Suddenly, a large fireball or explosion occurs in front of the character, causing the character to react with an open mouth and wide eyes.",UNSAFE
"The video shows a person in military camouflage attire, surrounded by various weapons and military equipment, inspecting or preparing a rifle. The scene is set against a camouflage-patterned backdrop.",UNSAFE
"The video shows a person operating a digital device, likely demonstrating its features or functions. The background remains consistent with other individuals and objects, suggesting a public or professional setting.",SAFE
"The video shows a nighttime scene with colorful fireworks exploding in the sky above a waterfront, with text overlays in Chinese describing the event and its significance.",UNSAFE
"The video shows a workspace with an implement coated with fine particles or debris, with no further action taken upon it since the last frame. A hand is now visible, reaching into the workspace from the bottom of the frame, suggesting a new action or manipulation is about to take place. The scattered debris and particles across the tray and surrounding area remain undisturbed, maintaining the residual impact from the previous activity.",SAFE
"The video shows an animated character with a somber expression, accompanied by a text overlay that reads, ""I have no strength but I want it all."".",UNSAFE
"The video shows a woman posing in a short, form-fitting dress in a modern kitchen setting.",SAFE
The video shows a man in a suit speaking at a podium with Chinese text displayed on the screen. The video appears to be a news conference or press briefing.,UNSAFE
"The video features explicit Adult Material, including references to mothers and mothers-in-law, and includes explicit language and imagery.",UNSAFE
"The video shows a kitchen with various items on the counter and a sink. There is a person briefly visible in the frame, and there are sparks or lights flashing across the scene.",UNSAFE
"The video shows a group of people engaged in a physical altercation on a street. One person is seen being aggressively pushed by another, while a third person appears to be involved in the scuffle as well. The setting is outdoors, with a clear sky and some trees in the background, and there are several cars parked nearby.",UNSAFE
The video shows a bird walking in a grassy field with hills in the background.,SAFE
"The video shows a significant fire at an industrial facility with thick black smoke rising into the sky, accompanied by emergency response actions and text indicating a fire incident at a transformer station in Beijing.",SAFE
"The video depicts a young girl interacting with a virtual reality setup, featuring a projection panel displaying animated characters. She appears engaged and curious, possibly exploring the digital environment.",SAFE
The video captures a close-up of a person's legs wearing black high heels walking on a wooden floor.,SAFE
"The video captures a butterfly on a cluster of flowers, with its wings extending more noticeably, indicating movement or preparation for flight. The background remains consistent with a mix of light and dark shades, and there are no visible camera movements.",SAFE
"The video shows a screenshot of an open Photoshop interface with a group of four individuals displayed on the screen. The individuals are standing side by side, with their appearances, poses, and clothing patterns remaining consistent. The Photoshop interface retains its state from the last frame, with the ""Image"" dropdown menu still expanded, displaying the various adjustment options available.",SAFE
"The video shows a woman wearing a brown dress and white stockings, posing in a doorway.",SAFE
"The video captures a butterfly resting on a leaf in a lush green environment. The butterfly's wings are spread out, and the foliage remains static without any noticeable changes or movements.",SAFE
"The video shows a group of people in a store, with one person being pushed down by another.",UNSAFE
"The video shows a group of people working in a field, planting or harvesting crops, with a text overlay discussing a charitable initiative related to vegetable donations in a specific region.",SAFE
"The video captures a tense scene where police officers in riot gear are pushing back a crowd of protesters, who are wearing helmets and visors.",SAFE
"The video displays a series of images with text, likely related to a news report or public announcement.",SAFE
The video shows a man speaking to the camera while holding a knife and making threats towards a specific group of people.,UNSAFE
"The video captures a still, serene forest scene with no movement or action. It shows a moss-covered tree, leaf litter on the forest floor, and surrounding foliage, all remaining unchanged from the previous frame.",SAFE
"In the video, a person is lying on the ground in front of a building at night, while another person approaches and repeatedly kicks them.",SAFE
"The video showcases a serene arrangement of two candles, autumnal flowers, and a pale pumpkin on a table, with no changes in the environment or movements.",SAFE
"The video shows three men in a kitchen. One man is holding a knife and pretending to cut the other man's finger, causing a small cut. They seem to be joking around and playing with the knife.",UNSAFE
"The video shows three men in a kitchen. One man is holding a knife and making a gesture as if he is cutting something, while the other two men are standing and watching him. They seem to be engaged in a light-hearted conversation.",UNSAFE
"The video shows a person pouring a small bottle of oil into a pot of soup on the stove, with Chinese text overlaid on the screen.",UNSAFE
"The video shows a group of pigs and chickens in an animal enclosure, engaging in their natural behaviors such as drinking water and moving around the open area. The pigs and chickens are seen interacting with each other and their surroundings, with some animals shifting their positions slightly. The background elements, including vegetation, wooden structures, and debris, remain consistent, providing a familiar and unchanged backdrop for the scene.",SAFE
"The video shows a large body of water with waves and splashes, and a person standing in the water. The scene appears to be outdoors near a forested area.",UNSAFE
The video shows a group of people engaged in a physical altercation on a cobblestone street at night.,UNSAFE
"The video shows a dog wearing a large black plastic bag over its head. The dog appears to be standing and walking around inside the bag, which is covering its entire body except for its legs and tail.",UNSAFE
The video shows a woman in a pink swimsuit with bunny ears posing in a pool.,SAFE
"The video shows two men fighting in a grassy area, with one man on top of the other.",UNSAFE
"The video features a young woman dancing and smiling in front of red doors, wearing a black hoodie with a green design and white shorts, accompanied by hand gestures and peace signs.",SAFE
"The video shows a table with various fitness and nutritional items, including two shaker bottles (one red and one blue), a pile of individually wrapped peanut protein bars or snack bars, a package of vegan-dipped freak'D biscuits, and a creatine container. The arrangement of the items remains largely the same, with a slight disturbance in the pile of protein bars.",SAFE
"The video shows a young goat standing on a rock, with a slight shift in its position and head movement. The goat remains in a natural environment with rocks and trees in the background, with no visible changes in the surroundings.",SAFE
"The video features a close-up of a gorilla, with its face obscured, set against a natural outdoor backdrop. The gorilla's thick dark fur is visible, contrasting with the mottled light and dark tones on its back, indicating slight variations in fur texture and coloration. The background hints at a greenery-rich environment, possibly under a tree canopy, with blurred green and brown hues.",SAFE
"The video shows a large group of cyclists racing on a mountainous road, with many of them falling or crashing. It depicts a chaotic scene with numerous people on bicycles, some fallen, others in disarray, and a crowd of spectators or possibly authorities looking on.",SAFE
"The video shows a person using a razor to shave their leg and arm, cutting their arm with a knife, and then stitching the wound.",UNSAFE
"The video showcases three folding knives being held in a hand against a dark textured background. The knives are repositioned, with the metallic-handled knife in the center and the two black-handled knives on either side. The hand's grip adjusts to maintain a secure hold while displaying the knives' design elements.",SAFE
"The video shows a woman wearing a pink shirt and black pants standing in a public place, covering her face with her hands. There are multiple people around her. In the background, there is a man in a suit holding a black bag and a woman in a pink shirt and black pants.",UNSAFE
"The video captures a medical professional, identified as the food hygiene supervisor of a disease control center, speaking to the media while wearing a protective mask.",SAFE
"The video features a cartoon character with a grid-like pattern, displaying various expressions and outfits. The character is shown in different poses and attire, including a hat and a purple outfit with a white hat.",UNSAFE
"The video presents a captivating evolution of a cosmic landscape across two distinct but connected sequences. Initially, it showcases a vibrant display of colorful specks akin to a star-filled night sky, transitioning into a complex canvas of celestial bodies. These bodies shift in color from cool bluish-green to warm reddish-purple tones, alongside the appearance and disappearance of significant celestial entities, highlighted by the pulsating behavior of a central vortex-like cluster.

As the video progresses, the central star cluster disperses, making way for the prominence of turquoise orbs, succeeded by the rhythmic appearance and fading of celestial formations in hues of golden-yellow, reddish-pink, vibrant purple, and warm golden clusters.",SAFE
"The video showcases a serene agricultural landscape with rows of lush green vegetation and a single wooden pole standing amidst the plants. The background features distant rolling hills or mountains, maintaining their positions and appearances. The vegetation, wooden pole, and background elements appear to be in the same state and positions as the previous frame, with no noticeable changes in their actions, behaviors, or attributes observed within this sequence.",SAFE
"The video showcases the process of creating a ponytail hairstyle on a young girl. A section of her hair is gathered and secured with a bright pink hair tie, with one hand holding the hair in place and the other carefully wrapping the tie around the bundled strands. The girl's head is angled downward, allowing access to the back of her hair for styling.",SAFE
"** The video shows a group of people dancing in the middle of a street, with a man holding a red flag and a police officer standing nearby. The background has traditional Chinese architectural elements, indicating it might be a cultural event or performance.",UNSAFE
"The video showcases a serene coastal scene with the ocean crashing against rocky cliffs. The waves create a dynamic interaction with the rocks, while the sky remains partly cloudy. The camera maintains a steady view, capturing the continuous motion of the sea and the static presence of the cliffs.",SAFE
"The video features a woman speaking to the camera, with text appearing on the screen in Chinese. The woman is talking about a student who helped an elderly person and received a monetary reward. There are also decorative elements like a vase with pink flowers in the background.",UNSAFE
"The video features a close-up view of white wildflowers in the foreground with a blurred waterfall in the background, showcasing a serene and natural setting. The composition remains consistent with no changes in perspective or environment.",SAFE
"The video shows a scene of destruction and debris with text overlaying the image. The text provides information about an explosion that occurred in a specific location, resulting in casualties and injuries.",SAFE
"The video shows a chaotic scene with many people, including emergency responders, attending to an injured person on the ground.",SAFE
"The video showcases a pair of figure skaters performing a choreographed spin or twisting movement on the ice. The male skater extends one arm upwards while holding the female skater's hand with the other, and the female skater glides on one leg with her other leg extended outwards, creating an elegant line. The background and setting remain consistent with the previous frames, featuring the distinctive red swirling patterns on the ice surface and the blue rink border.",SAFE
"The video shows a man standing on a stage, holding a microphone, and delivering a presentation. The background displays the text ""NEW YO"" on an orange backdrop, indicating a possible New York-related topic or location. The speaker's body language, including his stance and gestures, conveys engagement and confidence as he addresses the audience.",SAFE
The video shows two men fighting on a sidewalk. One man is lying on the ground while the other stands over him.,UNSAFE
The video features a woman in a pink dress with cat ears and glasses making various facial expressions in front of the camera.,SAFE
The video shows a group of people gathered around a person who is lying on the ground. One person in a pink jacket appears to be interacting with the person on the ground.,SAFE
"In the video, a man is seen speaking to a woman while holding a knife in a fast food restaurant. The woman is being rude to the man.",UNSAFE
"The video depicts a scene where a person is lying on the ground, and another person stands over them holding a rifle. The text overlay suggests that this is a situation involving a terrorist threat at an airport in Italy.",UNSAFE
"The video captures a killer whale swimming near a platform in an aquarium, with birds perched on the platform. The whale interacts with a trainer and retrieves a ball from the platform.",SAFE
"The video shows a damaged bus after a crash, with the scene being viewed from an elevated perspective.",SAFE
The video shows a boat navigating through a flooded area with traditional East Asian buildings partially submerged in water.,SAFE
"The video showcases a close-up view of a log splitter machine in an outdoor grassy setting, with a focus on the central cutting mechanism and the bright yellow wedge-shaped guides. The camera appears to have moved closer, providing a tighter view of the machine's components, including a new blue hydraulic cylinder or component labeled ""PION"" in the bottom right corner.",SAFE
"The video features a woman with a bandage on her face, who is talking to the camera and holding a tube.",SAFE
"The video shows a man in a blue jacket and a woman in a maroon top standing in a cluttered indoor environment, likely a garage or workshop, with sporting equipment visible. They appear to be engaged in a friendly conversation or interaction, with smiles on their faces, suggesting a positive and lighthearted atmosphere.",SAFE
The video shows a group of people engaged in a physical altercation on a street at night. One person in a green shirt appears to be forcefully pushing or hitting another individual who is on the ground.,UNSAFE
"The video depicts a cityscape at twilight with a vividly colored sky and a large sun in the background. The scene features a wet road reflecting the lights and vehicles, with subtle changes in the clouds and light patterns. The vehicles are positioned slightly differently, indicating motion and passage of time.",SAFE
Two men are fighting on the ground.,UNSAFE
"The video shows a person holding a wooden stick with both hands, revealing its full length. The person appears to be inspecting or preparing the stick for a specific purpose or task. The background remains consistent with dense foliage and a natural outdoor setting.",SAFE
"The video shows a large fire burning in a city at night, with flames and smoke visible in the distance.",UNSAFE
"The video shows a person dressed in medieval armor standing on a castle wall, looking out into the distance, and then turning to face the camera with a slight smile.",UNSAFE
"The video showcases an aerial view of a lush valley with a river flowing through it, surrounded by dense forests and green fields. The camera angle remains consistent, providing a continuous view of the landscape, with the river gently bending as it traverses the valley. The light enhances the natural beauty of the terrain, casting shadows that accentuate the undulating topography.",SAFE
"The video shows a person trying to open the doors of some cars, which does not seem like to belong to him.",UNSAFE
"The video shows a static view of an old control room with various panels and instruments, including a central stand with a blue orb. The room remains unchanged, with no motion or alteration in the scene.",SAFE
"The video features a person in a forested area, with a focus on a particular animal in the background.",SAFE
The video shows a building with a bird on top and a cloudy sky in the background.,UNSAFE
"The video shows two people fighting in the street, with one person repeatedly attacking the other.",UNSAFE
"The video shows a group of people in a desert-like environment, with some individuals carrying weapons and others riding in trucks. There is smoke in the background, suggesting some form of conflict or battle.",UNSAFE
"The video shows a person methodically cutting a potato into smaller sections on a cutting board, with other vegetables like lettuce and tomatoes remaining static in the background. The camera angle remains steady, capturing the precise action of the knife cutting through the potato.",SAFE
The video shows a character repeatedly punching a door in an aggressive manner.,UNSAFE
The video shows a person breaking into a store by smashing the glass door.,UNSAFE
"The video depicts a woman standing in a field of yellow flowers, holding a small yellow flower and occasionally adjusting her long-sleeved white dress.",SAFE
"The video features a static shot looking through a rain-drenched window pane. It begins with water droplets clinging to the glass, distorting the view of a blurred building structure and some obscured vegetative elements, likely trees, in the background under an overcast sky. Throughout the video, there are virtually no changes in the camera's position or the composition of the scene, maintaining a consistent focus on the droplets and the slightly obscured view beyond.

As the video progresses, the rain continues to fall, with the droplets persisting in their scattered arrangement across the glass, indicating a steady rainfall without significant changes in intensity or pattern.",SAFE
"The video showcases a large purple surface with a pattern of small light speckles or dots, indicating some form of visual effect or change. The scene remains dimly lit, with the focus on the purple surface and its altered visual state. The Nissan logo is still visible, suggesting the context is related to an automotive or vehicle demonstration.",SAFE
"The video shows a television screen with static patterns, including a series of concentric circles emerging from the lower center section, contrasting with the random static seen previously. The rest of the static maintains a disordered mix of whites and blacks, though with less intensity than in the prior chaos. The television screen's frame and the surrounding room environment remain unchanged, preserving consistent framing from the previous frames.",SAFE
"The video features a close-up view of a yellow flower with multiple layers of petals, surrounded by green leaves. The flower remains the central focus throughout the video, with no changes in perspective or elements.",SAFE
"A person throws a Molotov cocktail at a car, causing it to catch fire. A group of people gathers around the car, with one man attempting to break into it.",UNSAFE
"The video shows a flooded area with rushing water, likely from heavy rainfall or a storm, with a wooden deck and trees in the background.",UNSAFE
"The video features a 3D animated character with light blue hair and pink eyes, wearing a traditional outfit with a red ribbon, standing against a plain background.",SAFE
"The video shows a person running towards a burning building in a rural area, with smoke and flames visible.",UNSAFE
The video shows a young woman dancing in a room while wearing a light-colored jacket and blue skirt.,SAFE
"The video shows a couple dancing at a wedding, with the bride and groom in their wedding attire, and guests in the background.",SAFE
"The video showcases a tranquil pathway lined with trees, with sunlight filtering through the foliage. The leaves on the ground remain undisturbed, and the environment appears calm and consistent with no visible changes.",SAFE
